Fuel model code	Fuel model code2	Type	Fuel load 1-h	Fuel load 10-h	Fuel load 100-h	Fuel load live herbaceous	Fuel load live woody	SAV 1-h	SAV live and dead herb.	SAV live woody	Fuel bed depth	Dead fuel moist. of extintion
1	1	S	0.74	0.00	0.00	0.00	0.00	3500	0	0	1.00	12.00
2	2	S	2.00	1.00	0.50	0.50	0.00	3000	1500	0	1.00	15.00
3	3	S	3.00	0.00	0.00	0.00	0.00	1500	0	0	2.50	25.00
4	4	S	5.00	4.00	2.00	0.00	5.00	2000	0	1500	6.00	20.00
5	5	S	1.00	0.50	0.00	0.00	2.00	2000	0	1500	2.00	20.00
6	6	S	1.50	2.50	2.00	0.00	0.00	1750	0	0	2.50	25.00
7	7	S	1.10	1.90	1.50	0.00	0.37	1750	0	1500	2.50	40.00
8	8	S	1.50	1.00	2.50	0.00	0.00	2000	0	0	0.20	30.00
9	9	S	2.90	0.41	0.15	0.00	0.00	2500	0	0	0.20	25.00
10	10	S	3.00	2.00	5.00	0.00	2.00	2000	0	1500	1.00	25.00
11	11	S	1.50	4.50	5.50	0.00	0.00	1500	0	0	1.00	15.00
12	12	S	4.00	14.00	16.50	0.00	0.00	1500	0	0	2.30	20.00
13	13	S	7.00	23.00	28.00	0.00	0.00	1500	0	0	3.00	25.00
GR1	101	D	0.10	0.00	0.00	0.30	0.00	2200	2000	0	0.40	15.00
GR2	102	D	0.10	0.00	0.00	1.00	0.00	2000	1800	0	1.00	15.00
GR3	103	D	0.10	0.40	0.00	1.50	0.00	1500	1300	0	2.00	30.00
GR4	104	D	0.25	0.00	0.00	1.90	0.00	2000	1800	0	2.00	15.00
GR5	105	D	0.40	0.00	0.00	2.50	0.00	1800	1600	0	1.50	40.00
GR6	106	D	0.10	0.00	0.00	3.40	0.00	2200	2000	0	1.50	40.00
GR7	107	D	1.00	0.00	0.00	5.40	0.00	2000	1800	0	3.00	15.00
GR8	108	D	0.50	1.00	0.00	7.30	0.00	1500	1300	0	4.00	30.00
GR9	109	D	1.00	1.00	0.00	9.00	0.00	1800	1600	0	5.00	40.00
GS1	121	D	0.20	0.00	0.00	0.50	0.65	2000	1800	1800	0.90	15.00
GS2	122	D	0.50	0.50	0.00	0.60	1.00	2000	1800	1800	1.50	15.00
GS3	123	D	0.30	0.25	0.00	1.45	1.25	1800	1600	1600	1.80	40.00
GS4	124	D	1.90	0.30	0.10	3.40	7.10	1800	1600	1600	2.10	40.00
SH1	141	D	0.25	0.25	0.00	0.15	1.30	2000	1800	1600	1.00	15.00
SH2	142	S	1.35	2.40	0.75	0.00	3.85	2000	0	1600	1.00	15.00
SH3	143	S	0.45	3.00	0.00	0.00	6.20	1600	0	1400	2.40	40.00
SH4	144	S	0.85	1.15	0.20	0.00	2.55	2000	1800	1600	5.00	30.00
SH5	145	S	3.60	2.10	0.00	0.00	2.90	750	0	1600	6.00	15.00
SH6	146	S	2.90	1.45	0.00	0.00	1.40	750	0	1600	2.00	30.00
SH7	147	S	3.50	5.30	2.20	0.00	3.40	750	0	1600	6.00	15.00
SH8	148	S	2.05	3.40	0.85	0.00	4.35	750	0	1600	3.00	40.00
SH9	149	D	4.50	2.45	0.00	1.55	7.00	750	1800	1500	4.40	40.00
TU1	161	D	0.20	0.90	1.50	0.20	0.90	2000	1800	1600	0.60	20.00
TU2	162	S	0.95	1.80	1.25	0.00	0.20	2000	0	1600	1.00	30.00
TU3	163	D	1.10	0.15	0.25	0.65	1.10	1800	1600	1400	1.30	30.00
TU4	164	S	4.50	0.00	0.00	0.00	2.00	2300	0	2000	0.50	12.00
TU5	165	S	4.00	4.00	3.00	0.00	3.00	1500	0	750	1.00	25.00
TL1	181	S	1.00	2.20	3.60	0.00	0.00	2000	0	0	0.20	30.00
TL2	182	S	1.40	2.30	2.20	0.00	0.00	2000	0	0	0.20	25.00
TL3	183	S	0.50	2.20	2.80	0.00	0.00	2000	0	0	0.30	20.00
TL4	184	S	0.50	1.50	4.20	0.00	0.00	2000	0	0	0.40	25.00
TL5	185	S	1.15	2.50	4.40	0.00	0.00	2000	0	1600	0.60	25.00
TL6	186	S	2.40	1.20	1.20	0.00	0.00	2000	0	0	0.30	25.00
TL7	187	S	0.30	1.40	8.10	0.00	0.00	2000	0	0	0.40	25.00
TL8	188	S	5.80	1.40	1.10	0.00	0.00	1800	0	0	0.30	35.00
TL9	189	S	6.65	3.30	4.15	0.00	0.00	1800	0	1600	0.60	35.00
SB1	201	S	1.50	3.00	11.00	0.00	0.00	2000	0	0	1.00	25.00
SB2	202	S	4.50	4.25	4.00	0.00	0.00	2000	0	0	1.00	25.00
SB3	203	S	5.50	2.75	3.00	0.00	0.00	2000	0	0	1.20	25.00
SB4	204	S	5.25	3.50	5.25	0.00	0.00	2000	0	0	2.70	25.00
